text,merek,jenis_produk,kandungan,manfaat
natasha spicule shot serum anti - aging,natasha,spicule shot serum,,anti - aging
kanebo,kanebo,,,
biore uv aqua rich sunscreen watery gel spf50 pa,biore,sunscreen watery gel,aqua,"spf50 pa, uv, rich"
kanebo,kanebo,,,
oneskin protective sunscreen spray spf 50 pa kering wajah facial,oneskin,sunscreen spray,,"protective, kering wajah facial, spf 50 pa"
debiuryn jerawat milk cleanser susu wajah kulit berminyak,debiuryn,cleanser,"susu, milk","jerawat, wajah kulit berminyak"
somethinc copper peptide resveratrol serum,somethinc,serum,copper peptide resveratrol,
noroid derma cream,noroid derma,cream,,
collagen dna plus kojic soap awet,dna plus kojic,soap,collagen,awet
dna plus phyto mist beautetox salmon concentrate gel skin booster serum pelembab wajah anti - aging pria wanita pencerah berminyak jerawat kusam kering mochi treatment,dna plus phyto,"mist beautetox, concentrate gel skin booster serum pelembab wajah",salmon,"mochi treatment, anti - aging pria wanita pencerah berminyak jerawat kusam kering"
somethinc retinol serum menyamarkan tekstur kulit garis halus anti - aging mencegah kerutan pori besar dark spot renewal brighten smoothing essence prevent premature pemula,somethinc,"serum, essence",retinol,"prevent premature pemula, menyamarkan tekstur kulit garis halus anti - aging mencegah kerutan pori besar dark spot renewal brighten smoothing"
kojie san skin lightening soap hydromoist,kojie san,soap,,"skin lightening, hydromoist"
biore uv sunscreen skin protection essence spf50 pa,biore,"essence, sunscreen",,"spf50 pa, uv, skin protection"
kanebo,kanebo,,,
natasha serum anti - aging,natasha,serum,,anti - aging
men biore bright oil clear sabun wajah doublescrub,men biore,sabun wajah,,"doublescrub, bright oil clear"
oneskin memberi perlindungan maksimal memperbaiki skin barrier sunscreen moisturizer,oneskin,sunscreen moisturizer,,memberi perlindungan maksimal memperbaiki skin barrier
topicare ceramide soothing cream perawatan tubuh,topicare,cream,ceramide,"perawatan tubuh, soothing"
labore sensitive physical sunscreen,labore,sunscreen,,"physical, sensitive"
debiuryn ageless glow serum lactid acid hyaluronic anti - aging,debiuryn,serum,lactid acid hyaluronic,"anti - aging, ageless glow"
herborist aloe vera soothing moisturizer,herborist,moisturizer,aloe vera,soothing
alat pijat wajah indoganic beauty rose quartz facial roller untuk melancarkan peredaran darah mengencangkan kulit,indoganic beauty rose quartz,"facial roller, alat pijat wajah",,untuk melancarkan peredaran darah mengencangkan kulit
natasha stemcell booster anti - aging,natasha,stemcell booster,,anti - aging
somethinc starter kit calm down moisturizer low ph jelly cleanser sunscreen gel,somethinc,"jelly cleanser sunscreen gel, moisturizer",,"low ph, starter kit calm down"
men biore oil balance sabun wajah non scrub,men biore,sabun wajah,,"oil balance, non scrub"
tje fuk white night cream mencerahkan kulit wajah kusam mengatasi jerawat noda bekas flek hitam membandel bintik haluskan tanda penuaan pria wanita,tje fuk,cream,,"mencerahkan kulit wajah kusam mengatasi jerawat noda bekas flek hitam membandel bintik haluskan tanda penuaan pria wanita, white night"
kojie san serum,kojie san,serum,,
kanebo sunscreen spf 50 pa,kanebo,sunscreen,,spf 50 pa
cetaphil gentle skin cleanser,cetaphil,cleanser,,gentle skin
wardah white secret day cream,wardah,cream,,white secret day
wardah aloe hydramild multifunction gel,wardah,gel,aloe,hydramild multifunction
foe 2 white day cream mencerahkan meratakan warna kulit,foe 2,cream,,"mencerahkan meratakan warna kulit, white day"
debiuryn face scrub peeling cream kulit normal atau kering,debiuryn,face scrub peeling cream,,kulit normal atau kering
somethinc propolis hydra mist,somethinc,mist,propolis,hydra
mouisturizing milk cleanser natasha,natasha,cleanser,milk,mouisturizing
alpha serum dna plus salmon dark spot terminator noda regenerasi kulit wajah sehat,dna plus,alpha serum,salmon,dark spot terminator noda regenerasi kulit wajah sehat
somethinc holyshield sunscreen comfort corrector serum spf 50 pa kulit jerawat tone up mineral,somethinc,"tone up, serum, sunscreen",mineral,"holyshield, comfort corrector, spf 50 pa kulit jerawat"
natasha glowing sensitif skin barrier,natasha,,,glowing sensitif skin barrier
watch me bare it bright gentle brightening whip foam,watch me bare it,whip foam,,bright gentle brightening
somethinc,somethinc,,,
somethinc,somethinc,,,
biore skin caring jerawat care facial foam,biore,facial foam,,skin caring jerawat care
kanebo,kanebo,,,
kanebo lift serum aging,kanebo,lift serum,,aging
polident 3 minute daily cleanser,polident,cleanser,,3 minute daily
kanebo skin harmonizer,kanebo,,,skin harmonizer
selection kapas,selection,kapas,,
kalpanax salep,kalpanax,salep,,
oneskin memberi perlindungan maksimal membantu mencerahkan kulit wajah sunscreen serum,oneskin,sunscreen serum,,memberi perlindungan maksimal membantu mencerahkan kulit wajah
kojiesan skin lightening soap hydromoist,kojiesan,soap,,"skin lightening, hydromoist"
kanebo essence,kanebo,essence,,
cetaphil cleanser,cetaphil,cleanser,,
somethinc holyshield uv watery sunscreen gel spf 50 pa untuk kulit berminnyak mudah menyerap no whitecast tidak lengket,somethinc,watery sunscreen gel,,"untuk kulit berminnyak mudah menyerap no whitecast tidak lengket, holyshield uv, spf 50 pa"
phyto booster glowing facial mist white and brightening pencerah wajah,phyto,"pencerah wajah, facial mist",,"booster glowing, white and brightening"
booster glowing mist,,mist,,booster glowing
ceradan moisturizer wash,ceradan,moisturizer wash,,
lysca pore jerawat toner oily and skin,lysca,toner,,"pore jerawat, oily and skin"
oneskin pria perlindungan maksimal facial wash serum moisturizer sunscreen,oneskin,facial wash serum moisturizer sunscreen,,pria perlindungan maksimal
biore uv fresh bright soothing aloe sunscreen spf50 pa,biore,sunscreen,aloe,"spf50 pa, uv fresh bright soothing"
biore uv fresh bright oil control matte sunscreen spf50 pa,biore,matte sunscreen,,"spf50 pa, uv fresh bright oil control"
men biore bright energy sabun wajah doublescrub,men biore,sabun wajah,,"bright energy, doublescrub"
debiuryn ageless skin energy serum retinol bha anti - aging,debiuryn,serum,retinol bha,"anti - aging, ageless skin energy"
biore uv sunscreen skin protection essence spf50 pa,biore,"essence, sunscreen",,"spf50 pa, uv, skin protection"
kanebo skin harmonizer,kanebo,,,skin harmonizer
ciara stretchmark treatment oil natural deodorant,ciara,deodorant,,stretchmark treatment oil natural
kanebo essence,kanebo,essence,,
rdl papaya brightening soap sabun mandi batang,rdl papaya,soap sabun mandi batang,,brightening
verile blemish cream,verile,blemish cream,,
kojie san men face wash lightening,kojie san,men face wash,,lightening
debiuryn vitamin c bright glowing essense serum,debiuryn,essense serum,vitamin c,bright glowing
kanebo cream anti - aging night,kanebo,cream,,anti - aging night
heliatech sunscreen lotion spf,heliatech,sunscreen lotion,,spf
somethinc perawatan mata panda eyelash serum,somethinc,eyelash serum,,perawatan mata panda
somethinc advanced peeling aha bha pha lha serum hangover voluminous fiber lash smudgeproof mascara,somethinc,"peeling, serum, mascara",aha bha pha lha,"hangover voluminous fiber lash smudgeproof, advanced"
verile jerawat care facial wash,verile,facial wash,,jerawat care
dew it kids sunscreen mist daily lotion tabir surya spray,dew it kids,"mist daily lotion tabir surya spray, sunscreen",,
noroid soothing cream,noroid,cream,,soothing
herborist aloe vera soothing moisturizing gel,herborist,moisturizing gel,aloe vera,soothing
garnier micellar cleansing rose water,garnier,micellar cleansing,rose water,
moko kit skin type,moko,,,kit skin type
cetaphil skin restoring wash,cetaphil,,,skin restoring wash
biore uv fresh bright sunscreen sun screen sunblock cream spf 50 pa samarkan noda hitam,biore,sunscreen sun screen sunblock cream,,"uv fresh bright, spf 50 pa samarkan noda hitam"
men biore jerawat bacterior uv aqua rich,men biore,,,jerawat bacterior uv aqua rich
kanebo,kanebo,,,
prology skin clear peel,prology skin,,,clear peel
kelly lemon soap,kelly,soap,lemon,
wardah aloe hydramild facial wash,wardah,facial wash,aloe,hydramild
jf sulfur dermamed soap,jf,soap,sulfur,dermamed
acnes creamy wash,acnes creamy wash,,,
kanebo,kanebo,,,
somethinc basic skincare kit,somethinc,,,basic skincare kit
face up age defence hac lift serum anti - aging menghaluskan mengencangkan mencerahkan melembabkan kulit wajah,face up,serum,,"age defence hac lift, anti - aging menghaluskan mengencangkan mencerahkan melembabkan kulit wajah"
dermatix bantu mempercepat penyembuhan luka secara optimal,dermatix,,,bantu mempercepat penyembuhan luka secara optimal
melanox cream,melanox,cream,,
somethinc dark spot reducer ampoule,somethinc,ampoule,,dark spot reducer
acnes point clear roll on,,acnes point clear roll on,,
relife pigment solution,relife,,,pigment solution
debiuryn cleanser wajah kulit jerawat berminyak,debiuryn,cleanser,,wajah kulit jerawat berminyak
tje fuk essence moisturizer perawatan anti - aging wajah mengencangkan kerutan garis halus tanda penuaan mencerahkan melembutkan,tje fuk,essence moisturizer,,perawatan anti - aging wajah mengencangkan kerutan garis halus tanda penuaan mencerahkan melembutkan
men biore jerawat bacterior sabun wajah doublescrub,men biore,sabun wajah,,"jerawat bacterior, doublescrub"
kanebo clarifying powder wash,kanebo,wash,,clarifying powder
topicare soothing cream,topicare,cream,,soothing
debiuryn phyto light active micellar water remaja anak,debiuryn phyto,micellar water,,"light active, remaja anak"
selection round facial cotton,selection round,facial cotton,,
cheering mist uv spf50 pa,cheering,mist,,"spf50 pa, uv"
cleanser,,cleanser,,
tumitku,,tumitku,,
bifesta foaming cleanser wajah busa untuk mengurangi minyak berlebih,bifesta,"foaming, cleanser wajah busa",,untuk mengurangi minyak berlebih
dermaten cream,dermaten,cream,,
beautetox alpha serum pencerah poreless arbutin botox like peptides melembabkan mencerahkan mengencangkan kulit glowing,beautetox,alpha serum,"arbutin, peptides","melembabkan mencerahkan mengencangkan kulit glowing, botox like, pencerah poreless"
xepagel cream,xepagel,cream,,
kanebo lotion,kanebo,lotion,,
somethinc biospicule renewal serum,somethinc,biospicule renewal serum,,
natasha facial wash oily,natasha,facial wash,,oily
somethinc calm down skinpair moisturizer pelembap wajah untuk kulit sensitif kemerahan normal meredakan memperkuat skin barrier,somethinc,moisturizer pelembap wajah,,"untuk kulit sensitif kemerahan normal meredakan memperkuat skin barrier, calm down skinpair"
somethinc glow aha bha pha clarifying treatment toner,somethinc,toner,aha bha pha,"glow, clarifying treatment"
papulex moussant cleansing gel dermatix jerawat spot care,"dermatix, papulex moussant",cleansing gel,,jerawat spot care
oneskin facial wash charcoal membersihkan wajah pria,oneskin,facial wash,charcoal,membersihkan wajah pria
glycore cream,glycore,cream,,
dermatix ultra gel,dermatix,ultra gel,,
viva milk cleanser bengkoang,viva,cleanser,"milk, bengkoang",
moisturizing skin toner calendula natasha,natasha,moisturizing skin toner,calendula,
hydrobiotic serum natasha,natasha,serum,hydrobiotic,
phyto white booster up daily protection cream,phyto,cream,,white booster up daily protection
astaxanthin kapsul,astaxanthin,kapsul,,
asthin kapsul,asthin,kapsul,,
dermatix wound care,dermatix,,,wound care
men biore cleanser komedo,men biore,cleanser komedo,,
biore uv aqua rich sunscreen essence spf50 pa,biore,"essence, sunscreen",aqua,"spf50 pa, uv, rich"
somethinc glow pyhtocell serum untuk kulit berkilau mencerahkan brightening anti - aging mencegah penuaan dini,somethinc,serum,,"untuk kulit berkilau mencerahkan brightening anti - aging mencegah penuaan dini, glow pyhtocell"
lysca serum pores,lysca,serum,,pores
lysca lightening pencerah wajah glowing putih,lysca,pencerah wajah,,"lightening, glowing putih"
biore skin caring mild smooth facial foam,biore,facial foam,,skin caring mild smooth
fair lovely multivitamin facial foam,fair lovely,facial foam,multivitamin,
somethinc calm down skinpair barrier serum penenang kulit sensitif iritasi meredakan kemerahan memperkuat skin menghaluskan tampilan peptide panthenol,somethinc,serum,peptide panthenol,"penenang kulit sensitif iritasi meredakan kemerahan memperkuat skin menghaluskan tampilan, calm down skinpair barrier"
face up cleansing balm cleanser wajah make remover olive oil mengecilkan pori mencerahkan kulit,face up,cleanser wajah,,"cleansing balm, make remover olive oil mengecilkan pori mencerahkan kulit"
cetaphil gentle skin cleanser,cetaphil,cleanser,,gentle skin
somethinc hyaluronic essence toner yang menghidrasi kulit melembabkan kering non comedogenic cocok untuk sensitif,somethinc,essence toner,hyaluronic,yang menghidrasi kulit melembabkan kering non comedogenic cocok untuk sensitif
somethinc low ph jelly cleanser,somethinc,jelly cleanser,,low ph
somethinc eyelash serum mascara,somethinc,eyelash serum mascara,,
kojie san serum,kojie san,serum,,
ichtyol cito salep,ichtyol cito,salep,,
derma xp acneclear facial wash,derma xp acneclear,facial wash,,
debiuryn genery cleanser wajah kulit normal kering,debiuryn,genery cleanser wajah,,kulit normal kering
ceradan hydra cream,ceradan,cream,,hydra
debiuryn bright hydrating essence toner,debiuryn,essence toner,,bright hydrating
men biore bright sabun wajah,men biore,sabun wajah,,bright
men biore deep pore clean sabun wajah doublescrub,men biore,sabun wajah,,"deep pore clean, doublescrub"
biore uv aqua sunscreen watery gel spf50 pa,biore,sunscreen watery gel,aqua,"spf50 pa, uv"
teen milk cleanser natasha,natasha,cleanser,milk,teen
men biore cool oil clear bioreuv sunscreen essence,men biore,bioreuv sunscreen essence,,cool oil clear
biore skin caring mild smooth facial foam,biore,facial foam,,skin caring mild smooth
lysca lightening,lysca,,,lightening
somethinc low ph gentle jelly cleanser face wash,somethinc,gentle jelly cleanser face wash,,low ph
wardah moisturizer gel,wardah,moisturizer gel,,
viva pelembab uv green tea,viva,pelembab,green tea,uv
cica chicory calming moisturizer,chicory,moisturizer,cica,calming
jf sulfur anti jerawat cleanser,jf,cleanser,sulfur,anti jerawat
somethinc hyaluronic9 moisturizer gel pelembap yang menghidrasi cocok untuk kulit sensitif non comedogenic,somethinc,"gel, moisturizer",hyaluronic9,pelembap yang menghidrasi cocok untuk kulit sensitif non comedogenic
double lightening kering,,,,double lightening kering
labore sensitive barrier revive cream,labore,cream,,"barrier revive, sensitive"
kanebo skin protector sunscreen,kanebo,sunscreen,,skin protector
bifesta foaming whip deep clear sabun cleanser wajah clay charcoal,bifesta,"clear sabun cleanser wajah, foaming whip",clay charcoal,deep
