text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
pinkflash liquid eyeliner high pigmented long lasting waterproof,pinkflash,liquid eyeliner,,high pigmented long lasting waterproof,,
stay matte maybelline lip cream,maybelline,lip cream,,stay matte,,
sabun kertas cuci tangan praktis travelling paper soap travel,,"paper soap travel, sabun kertas cuci tangan",,praktis travelling,,
svmy 1062 contour concealer lightweight soft,svmy 1062,contour concealer,,lightweight soft,,
omg oh my glam matte kis lip cream,omg oh my glam,matte kis lip cream,,,,
focallure eyebrow cream gel waterproof pensil alis kosmetik mata,focallure,"eyebrow cream gel, pensil alis kosmetik mata",,waterproof,3,"Pelembap, Retinol, dan Perlindungan Kulit"
,,,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
parfum roll on dijamin awet,,parfum roll on,,dijamin awet,,
giv white hijab sabun mandi batang saffron niacinamide,giv,hijab sabun mandi batang saffron,niacinamide,white,,
the originote hyalu c serum vitamin mencerahkan kulit wajah kusam meratakan warna menjaga skin barrier hyaluronic acid,the originote,serum,"hyalu c, hyaluronic acid, vitamin",mencerahkan kulit wajah kusam meratakan warna menjaga skin barrier,4,Hidrasi dan Perawatan Kulit Sensitif
omg oh my glam matte kiss lip cream lipstick lipstik lipcream shade,omg oh my glam,matte kiss lip cream lipstick lipstik lipcream shade,,,2,Pembersih Wajah dan Perawatan Jerawat
sabun pyary nalpamara,pyary nalpamara,sabun,,,,
facetology triple care jerawat calm micellar water cleanser wajah salicylic acid untuk kulit berminyak,facetology,micellar water cleanser wajah,salicylic acid,"triple care jerawat calm, untuk kulit berminyak",,
deodorant spray tawas cair ampuh mencegah bau ketiak badan,,"cair, deodorant spray",tawas,ampuh mencegah bau ketiak badan,,
omg oh my glam matte kiss lip cream,omg oh my glam,matte kiss lip cream,,,,
kuku palsu fake nail,palsu,"fake nail, kuku",,,,
gendes feminine wash foam sweet care spray,gendes feminine,"spray, wash foam",care,sweet,,
maybelline lipstik lipstick lipcream longlasting waterproof viral tahan lama,maybelline,"lipcream, lipstik lipstick",,longlasting waterproof viral tahan lama,,
gogoland lem kuku palsu gel,gogoland,lem kuku palsu gel,,,,
matte lipcream liquid lipstick waterproof long lasting,,matte lipcream liquid lipstick,,waterproof long lasting,,
zencolor lip cream matte moisturizer liquid lipstik,zencolor,lip cream matte moisturizer liquid lipstik,,,,
sabun hotel,,sabun hotel,,,1,Skincare Anti-Aging dan Brightening
harmony sabun batang,,harmony sabun batang,,,,
sabun mandi cair,,sabun mandi cair,,,,
pensil alis implora eyebrow,implora,"eyebrow, pensil alis",,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
scarlett white eau de parfum,scarlett,eau de parfum,,white,,
lameila lip glaze velvet matte gloss lipstik cair pelembab lisptick,lameila,lip glaze velvet matte gloss lipstik cair pelembab lisptick,,,,
skintific air cushion uv spf 35 pa oil control waterproof fondation sweatproof matte finish poreless foundation flawless bb cream,skintific,"air cushion, bb cream, foundation",,"flawless, oil control, uv spf 35 pa, waterproof fondation sweatproof matte finish poreless",3,"Pelembap, Retinol, dan Perlindungan Kulit"
dettol sabun mandi batang soap,dettol,sabun mandi batang soap,,,,
skintific mugwort jerawat clay stick mask wajah komedo ampuh penghilang acner exfoliating green glowing niacinamide salicylic acid ceramide centella glycolic probiotic complex,skintific,jerawat clay stick mask wajah,"mugwort, niacinamide salicylic acid ceramide centella glycolic probiotic complex",komedo ampuh penghilang acner exfoliating green glowing,,
garnier hair color pewarna rambut,garnier,"hair color, pewarna rambut",,,,
omg oh my glam matte kiss lip cream,omg oh my glam,matte kiss lip cream,,,,
bulumata,,bulumata,,,,
kaca mini travel travelling,,kaca mini travel,,travelling,,
sunisa bedak cushion bb cream foundation waterproof,sunisa,"bedak, cushion bb cream",,foundation waterproof,,
kutek peel off muslimah dikupas untuk sholat,,kutek peel off,,muslimah dikupas untuk sholat,,
the originote high serum cushion,the originote,high serum cushion,,,,
kaca make up mini travelling,,kaca make up,,mini travelling,,
mask mata collagen crystal eyemask kantong black panda anti - aging,,"eyemask kantong black panda, mask mata",collagen crystal,anti - aging,,
implora lip cream matte,implora,lip cream matte,,,,
kapas selection facial cotton round toner cleanser wajah,kapas selection,"facial cotton round, toner cleanser wajah",,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
maybelline matte,maybelline,matte,,,,
milk recipe hair removal cream waxing perontok bulu ketiak non irritating untuk melembapkan anti iritasi chicken skin niacinamide,milk recipe,hair removal cream,niacinamide,waxing perontok bulu ketiak non irritating untuk melembapkan anti iritasi chicken skin,,
oil control luxcrime two way cake bedak foundation padat high coverage untuk kulit halus tanpa pori bebas minyak tahan 24 jam,luxcrime,bedak,,"foundation padat high coverage untuk kulit halus tanpa pori bebas minyak tahan 24 jam, oil control, two way cake",,
kuku palsu perawatan kecantikan kaki,,kuku palsu,,perawatan kecantikan kaki,3,"Pelembap, Retinol, dan Perlindungan Kulit"
kuku palsu,kuku palsu,,,,,
kapas selection cleanser wajah,kapas selection,cleanser wajah,,,,
facetology triple care lip protector sunscreen,facetology,sunscreen,,triple care lip protector,5,Brightening dengan Bahan Aktif
pensil alis bubuk maskara,,"maskara, pensil alis bubuk",,,,
elformula peeling moisturizer serum barrier perawatan wajah pelembab exfoliating,elformula,"peeling moisturizer, serum",,"barrier perawatan wajah, pelembab exfoliating",,
o two mascara waterproof long lasting curling,o two,mascara,,waterproof long lasting curling,,
bb parfum le labo non wanita wangi tahan lama,le labo,bb parfum,,non wanita wangi tahan lama,,
sisir pomade,sisir pomade,,,,,
cat kutek kuku peel off wanita muslimah sholat kupas,,cat kutek kuku peel off,,wanita muslimah sholat kupas,,
pxton spatula mask,pxton,spatula mask,,,,
miranda hair color cat rambut permanen,miranda,hair color cat rambut permanen,,,,
parfum roll on,,parfum roll on,,,,
implora lip cream matte lipcream lipstick lipstik,implora,lip cream matte lipcream lipstick lipstik,,,,
kaca make up mini travelling,,kaca make up,,mini travelling,,
hanasui mattedorable lip cream matte dorable lipcream lipstick cair,hanasui,lip cream matte dorable lipcream lipstick cair,,mattedorable,,
kojie san soap kojic acid,kojie san,soap kojic,acid,,,
parfum lelabo tahan lama wanita pria,lelabo,parfum,,tahan lama wanita pria,,
bibit parfum murni,,bibit parfum murni,,,1,Skincare Anti-Aging dan Brightening
fres natural spray cologne hijab refres princess charming,fres natural,spray cologne hijab,,refres princess charming,,
svmy 1041 liquid lipstick silky glass lip glaze waterproof long lasting,svmy 1041,liquid lipstick silky glass,,lip glaze waterproof long lasting,,
vaseline soft glow gluta vitamin spf 20 body serum niacinamide,vaseline,body serum,"gluta vitamin, niacinamide","soft glow, spf 20",1,Skincare Anti-Aging dan Brightening
pisau alis pengerok alat pencukur cukur eyebrow,,pisau alis pengerok alat pencukur cukur eyebrow,,,,
pinkflash matte lipstik lembut tahan lama pelembab pigmentasi tinggi,pinkflash,"matte lipstik, pelembab",,"lembut tahan lama, pigmentasi tinggi",,
louisse choice dna salmon glowing uv glow spf 50 pa sunscreen white and repairing moisturizing,louisse choice,sunscreen,dna salmon,"glow spf 50 pa, glowing uv, white and repairing moisturizing",3,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah matte lip cream tahan lama,wardah,matte lip cream,,tahan lama,3,"Pelembap, Retinol, dan Perlindungan Kulit"
implora eyebrow pencil pensil alis serut,implora,"eyebrow pencil, pensil alis serut",,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
azarine hydrasoothe sunscreen spf45 pa kulit berminyak jerawat,azarine,sunscreen,,"hydrasoothe, kulit berminyak jerawat, spf45 pa",,
ms glow night cream day facial wash toner,ms glow,"cream, facial wash toner",,"day, night",,
garnier hair color pewarna rambut,garnier,"hair color, pewarna rambut",,,2,Pembersih Wajah dan Perawatan Jerawat
koya kaki kinoki detox,kinoki,koya kaki,,detox,3,"Pelembap, Retinol, dan Perlindungan Kulit"
,,,,,,
implora eyebrow pencil pensil serutan sikat alis,implora,eyebrow pencil pensil serutan sikat alis,,,,
natural deodorant tawas spray essential oil penghilang bau badan therapeutic,natural,"deodorant, spray essential oil",tawas,penghilang bau badan therapeutic,,
skintific air cushion high coverage poreless flawless foundation long lasting spf35 pa,skintific,"air cushion, foundation",,"high coverage poreless flawless, long lasting spf35 pa",,
sunisa air cushion bb cream foundation,sunisa,air cushion bb cream foundation,,,,
sadoer hand cream moisturizing fruit lotion skin menjadikan tangan lebih lembut halus melembabkan,sadoer,"hand cream, lotion skin",,"menjadikan tangan lebih lembut halus melembabkan, moisturizing fruit",,
wardah glasting liquid lip ringan tidak lengket transferproof,wardah,liquid lip,,"glasting, ringan tidak lengket transferproof",,
pembesar payudara ampuh permanen instacare tanpa efek samping,instacare,,,"pembesar payudara ampuh permanen, tanpa efek samping",,
spons bedak beauty powder foundation sponge make up cushion bb cream basah kering,beauty powder,"cushion bb cream basah, foundation sponge make up, spons bedak",,kering,,
pembesar pengencang payudara bigsaze soap,bigsaze,soap,,pembesar pengencang payudara,1,Skincare Anti-Aging dan Brightening
parfum,,parfum,,,1,Skincare Anti-Aging dan Brightening
madame gie blushed makeup blush on long lasting,madame gie,blushed makeup blush on,,long lasting,,
selection kapas kecantikan cotton buds,selection,kapas kecantikan cotton buds,,,,
glad2glow pomegranate niacinamide brightening moisturizer mencerahkan pelembab wajah white glowing cream facial day night malam pencerah,glad2glow,"cream facial, moisturizer, pelembab wajah","niacinamide, pomegranate","brightening, day night malam pencerah, mencerahkan, white glowing",,
lameila svmy contour concealer lightweight soft,lameila svmy,contour concealer,,lightweight soft,,
kuku palsu fashion fake simple nails art,,kuku palsu,,"fashion fake, simple nails art",,
glazed lock lip plump next level gloss yang transferproof tahan lama 24 jam ringan tidak lengket bibir,glazed,lock lip,,plump next level gloss yang transferproof tahan lama 24 jam ringan tidak lengket bibir,4,Hidrasi dan Perawatan Kulit Sensitif
mascara maybelline,maybelline,mascara,,,,
garnier pewarna rambut,garnier,pewarna rambut,,,,
emina jerawat face wash scrub foam toner moisturizer tone up serum wajah sheet mask loose powder,emina,"face wash scrub, foam toner moisturizer tone up serum wajah sheet mask loose powder",,jerawat,,
hanasui mattedorable lip cream,hanasui,lip cream,,mattedorable,,
,,,,,2,Pembersih Wajah dan Perawatan Jerawat
kutek peel off kuteks muslimah untuk sholat,,kutek peel off,,kuteks muslimah untuk sholat,,
ailin fresh and natural minyak wangi perfume parfum,ailin fresh and natural,"minyak wangi, perfume parfum",,,,
pengikir kuku,,pengikir kuku,,,2,Pembersih Wajah dan Perawatan Jerawat
bnb barenbliss lip tint moisturizing,bnb barenbliss,lip tint,,moisturizing,,
wardah day cream night cleanser toner cleansing gel white,wardah,"cleanser toner cleansing gel, cream",,"day, night, white",3,"Pelembap, Retinol, dan Perlindungan Kulit"
kaca make up mini travelling,,kaca make up,,mini travelling,,
kuku palsu tahan air,,kuku palsu,,tahan air,,
parfum zf tahan lama unisex,zf,parfum,,"tahan lama, unisex",,
remimpi anti hair fall treatment shampoo oil control dandruff loss rambut rontok ketombe perawatan sampo,remimpi,"sampo, shampoo",dandruff,"anti hair fall treatment, loss rambut rontok ketombe perawatan, oil control",3,"Pelembap, Retinol, dan Perlindungan Kulit"
kojic bright glow soap,kojic,soap,,bright glow,,
omg oh my glam matte kiss lip cream,omg oh my glam,matte kiss lip cream,,,4,Hidrasi dan Perawatan Kulit Sensitif
purbasari lipstick color matte tahan 12jam ringan lembut bibir,purbasari,lipstick color matte,,tahan 12jam ringan lembut bibir,,
garnier cream,garnier,cream,,,,
sheet mask milk sadoer fruits essence,sadoer,"essence, sheet mask","fruits, milk",,,
kaca rias makeup,,kaca rias makeup,,,,
hanasui mattedorable lip cream matte lipcream lipstick,hanasui,"lip cream matte, lipcream lipstick",,mattedorable,,
spatula mini cream,,"cream, spatula mini",,,2,Pembersih Wajah dan Perawatan Jerawat
omg oh my glam matte kiss lip cream,omg oh my glam,matte kiss lip cream,,,,
parfum,,parfum,,,,
sabun pyary turmeric,pyary,sabun,turmeric,,2,Pembersih Wajah dan Perawatan Jerawat
garnier pewarna rambut,garnier,pewarna rambut,,,,
octarine parfum wanita tahan lama parfume perfume minyak wangi cewek,octarine,"parfum, parfume perfume minyak wangi cewek",,wanita tahan lama,,
facetology triple care hydra cleanse micellar water cleanser wajah sensitive skin make up tanpa bilas,facetology,micellar water cleanser wajah,,"sensitive skin make up tanpa bilas, triple care hydra cleanse",,
kudan kutek kuku peel off wanita cewek muslimah sholat kupas wangi tahan lama,kudan,kutek kuku peel off,,"wangi tahan lama, wanita cewek muslimah sholat kupas",,
the originote hyalurose micellar water,the originote,micellar water,hyalurose,,,
kudan kutek peel off tahan lama wangi cat kuku muslimah,kudan,kutek peel off,,tahan lama wangi cat kuku muslimah,,
eyebrow cetakan alis powder concealer,,"cetakan alis powder concealer, eyebrow",,,,
24pieces lem kuku palsu gel,24pieces,lem kuku palsu gel,,,,
kaca make up mini travelling,,kaca make up,,mini travelling,,
tosca deodorant spray tawas anti bau badan ketiak lengket white,tosca,deodorant spray,tawas,anti bau badan ketiak lengket white,,
eyeliner pensil waterproof young and beauty,young and beauty,eyeliner pensil,,waterproof,,
vaseline rosy lip therapy,vaseline,rosy,,lip therapy,,
pengikir kuku,,pengikir kuku,,,,
,,,,,,
citra natural booster body serum complete glow niacinamide vitamin c hyaluronic acid,citra,booster body serum,niacinamide vitamin c hyaluronic acid,"complete glow, natural",,
pinkflash waterproof liquid eyeliner pencil 24 jam long wear quick dry anti transfer pensil,pinkflash,"liquid eyeliner pencil, pensil",,"24 jam long wear quick dry, anti transfer, waterproof",,
sabun pyramid pyary nalpamara soap,pyramid pyary nalpamara,"sabun, soap",,,,
sabun mandi cair,,sabun mandi cair,,,,
instaperfect skincover air cushion coverage transfer resistant spf 50 pa,instaperfect,cushion,,"coverage transfer resistant spf 50 pa, skincover air",,
parfum unisex,,parfum,,unisex,5,Brightening dengan Bahan Aktif
stiker kuku lem palsu gel,,stiker kuku lem palsu gel,,,,
makarizo hair energy conditioning shampoo,makarizo hair energy,conditioning shampoo,,,,
lem kuku,lem kuku,,,,,
pisau cukur jenggot kumis pria cowok,pisau cukur jenggot kumis,,,pria cowok,,
kaca make up mini travelling,,kaca make up,,mini travelling,,
hanasui lipcream mattedorable,hanasui,lipcream,,mattedorable,2,Pembersih Wajah dan Perawatan Jerawat
parfum,,parfum,,,,
jennskin deodorant,jennskin,deodorant,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
lulur pomade,pomade,lulur,,,4,Hidrasi dan Perawatan Kulit Sensitif
o two makeup base cream soft focus primer,o two,makeup base cream,,soft focus primer,,
miranda hair color pewarna rambut permanent,miranda,hair color pewarna rambut,,permanent,,
oily skin scora niacinamide hydramoist gel salicylic acid low ph cleanser,skin scora,"cleanser, gel","niacinamide, salicylic acid","hydramoist, low ph, oily",,
,,,,,2,Pembersih Wajah dan Perawatan Jerawat
nagaraku ungu bulumata palsu eyelash extension,nagaraku ungu,"bulumata palsu, eyelash extension",,,,
